indicator_id,stock_id,calculation_date,sma_50,sma_200,rsi,volume_avg_30
1,1,2023-12-18,339.0659,328.4648,73.89,21521631
2,1,2023-12-19,173.7383,174.7881,40.0,12928498
3,1,2023-12-20,382.2286,396.2524,59.25,29675589
4,1,2023-12-21,260.6452,258.0653,48.0,21437677
5,1,2023-12-22,432.222,439.0919,27.32,17941591
6,1,2023-12-25,368.1308,351.8633,59.51,24880280
7,1,2023-12-26,298.0031,297.6626,67.56,11602324
8,1,2023-12-27,411.7162,419.0041,64.49,17787009
9,1,2023-12-28,305.0733,297.1608,27.42,28158613
10,1,2023-12-29,326.1563,328.423,59.55,11535243
11,1,2024-01-01,258.4306,249.3588,50.83,25642194
12,1,2024-01-02,307.665,313.7114,66.27,8548379
13,1,2024-01-03,442.3165,440.3268,61.19,21137305
14,1,2024-01-04,420.3073,433.2678,28.29,19438685
15,1,2024-01-05,176.7794,182.673,60.24,5041860
16,1,2024-01-08,440.114,450.4987,27.47,15565654
17,1,2024-01-09,409.9729,390.6969,55.6,7446543
18,1,2024-01-10,490.461,473.633,68.31,7669104
19,1,2024-01-11,113.3038,116.3895,39.2,24907598
20,1,2024-01-12,178.8006,174.441,35.54,17101966
21,1,2024-01-15,187.2212,189.7891,72.78,7341624
22,1,2024-01-16,55.2265,53.9911,55.4,6450920
23,1,2024-01-17,116.7975,113.2248,37.84,23703184
24,1,2024-01-18,383.7209,369.0302,29.45,14342913
25,1,2024-01-19,383.2415,393.5111,68.54,16702623
26,1,2024-01-22,73.4194,70.3487,52.38,27335306
27,1,2024-01-23,345.8486,345.9805,41.76,27108978
28,1,2024-01-24,493.9238,511.2551,29.35,19308334
29,1,2024-01-25,442.317,439.679,69.05,23092571
30,1,2024-01-26,132.4118,133.3043,53.07,20463335
31,1,2024-01-29,262.5246,269.8193,41.56,13916341
32,1,2024-01-30,51.287,50.3623,72.53,26119502
33,1,2024-01-31,334.5742,321.5674,54.52,17822666
34,1,2024-02-01,346.1579,357.5797,53.32,6943672
35,1,2024-02-02,224.5165,232.1403,51.39,13183962
36,1,2024-02-05,188.4936,193.2002,49.72,7305192
37,1,2024-02-06,83.0898,86.7199,65.75,5405718
38,1,2024-02-07,335.0977,320.3832,33.83,6750949
