price_id,stock_id,price_date,open_price,high_price,low_price,close_price,volume
1,1,2023-03-01,176.4339,178.9914,171.1179,173.6348,26909628
2,1,2023-03-02,172.0581,177.8399,170.4764,176.2199,19766418
3,1,2023-03-03,175.6998,177.833,168.7819,170.8563,29958399
4,1,2023-03-06,171.8869,177.6226,170.1822,175.8783,83314448
5,1,2023-03-07,176.8782,180.2626,174.4497,177.8212,82333672
6,1,2023-03-08,176.3692,177.6324,174.5039,175.7627,25255594
7,1,2023-03-09,175.2901,177.0936,171.7481,173.5335,5600364
8,1,2023-03-10,172.3257,174.4247,165.4051,167.4447,43528037
9,1,2023-03-13,165.7748,168.2369,163.5794,166.038,149188161
10,1,2023-03-14,166.2584,168.2153,160.3547,162.2646,4589290
11,1,2023-03-15,163.4092,165.0675,159.4628,161.0976,163776612
12,1,2023-03-16,161.1732,168.1771,158.9631,165.9022,55843932
13,1,2023-03-17,166.8386,169.0861,160.3555,162.5452,22042309
14,1,2023-03-20,161.3141,166.8046,159.8697,165.3243,23406370
15,1,2023-03-21,165.5082,166.5541,163.1232,164.1606,52610097
16,1,2023-03-22,165.5288,167.3463,161.6158,163.4101,8368880
17,1,2023-03-23,164.3334,165.5956,160.8163,162.061,34483574
18,1,2023-03-24,163.3276,165.0503,162.2308,163.9493,53345070
19,1,2023-03-27,163.9697,165.5309,157.5721,159.0868,108758540
20,1,2023-03-28,159.8336,161.2157,158.1293,159.5086,18098845
21,1,2023-03-29,159.6547,166.6891,157.4506,164.4192,32945508
22,1,2023-03-30,163.1699,165.7022,161.7389,164.2616,26915336
23,1,2023-03-31,164.4305,166.2663,162.232,164.0637,38857974
24,1,2023-04-03,164.235,166.6917,161.6126,164.0668,12321059
25,1,2023-04-04,164.421,168.0337,162.323,165.9166,25134501
26,1,2023-04-05,164.6095,171.3292,162.4936,169.1549,81222426
27,1,2023-04-06,170.4019,171.4471,168.5764,169.6168,64656825
28,1,2023-04-07,171.1523,173.1066,167.452,169.3861,29306315
29,1,2023-04-10,169.7275,171.0108,165.9356,167.1998,41768356
30,1,2023-04-11,167.7231,174.0201,166.4608,172.7202,39538863
31,1,2023-04-12,171.4647,173.0919,169.3941,171.0171,17756862
32,1,2023-04-13,172.2753,173.3661,167.0956,168.1604,199845140
33,1,2023-04-14,168.6099,170.2458,166.5941,168.2263,15866045
34,1,2023-04-17,166.9197,172.9692,164.8874,170.8885,27235250
35,1,2023-04-18,171.9681,173.8894,170.6684,172.5851,52392024
36,1,2023-04-19,172.5068,174.5755,168.271,170.3134,8398102
37,1,2023-04-20,170.6521,172.2443,166.4425,168.0101,10090480
38,1,2023-04-21,168.9494,170.0553,166.078,167.1723,28109786
39,1,2023-04-24,165.5346,167.1695,164.5455,166.1766,23870772
40,1,2023-04-25,165.0659,166.229,162.2922,163.4438,63980625
41,1,2023-04-26,164.7029,169.6572,163.0437,167.9651,95265441
42,1,2023-04-27,168.7934,171.4569,166.9115,169.5664,207097705
43,1,2023-04-28,171.1812,177.0085,169.8479,175.6404,49829287
44,1,2023-05-01,174.7528,179.5899,172.6729,177.4776,32025070
45,1,2023-05-02,176.2924,180.4199,174.0206,178.1245,11547966
46,1,2023-05-03,178.4137,182.671,177.3905,181.6294,149394860
47,1,2023-05-04,179.8906,181.0538,174.6831,175.8199,147730432
48,1,2023-05-05,174.7772,176.3306,172.9163,174.4669,108682544
49,1,2023-05-08,173.8285,175.8784,170.2182,172.2495,47605180
50,1,2023-05-09,171.3995,173.1872,165.8991,167.6476,117884650
51,1,2023-05-10,166.3332,168.9823,164.1787,166.8215,59420205
52,1,2023-05-11,168.3623,170.7093,167.3961,169.7352,76278138
53,1,2023-05-12,169.5346,171.1527,163.256,164.8292,120207375
54,1,2023-05-15,166.4744,168.4242,161.2594,163.1705,21533756
55,1,2023-05-16,164.3399,169.3575,162.8297,167.8154,29763433
56,1,2023-05-17,168.4751,174.6435,167.0143,173.1422,26881028
57,1,2023-05-18,174.2571,177.3126,171.6798,174.7283,117379452
58,1,2023-05-19,175.3496,180.9699,174.2634,179.8558,114994941
59,1,2023-05-22,178.5043,180.9784,175.8361,178.3075,34056530
60,1,2023-05-23,178.9286,180.5817,177.5246,179.1758,8831620
61,1,2023-05-24,178.489,179.9001,173.3253,174.7065,130502247
62,1,2023-05-25,174.8335,177.0554,172.2246,174.4415,32569846
63,1,2023-05-26,173.1659,176.3291,170.5815,173.7362,31641587
64,1,2023-05-29,175.4659,176.6984,170.3218,171.5267,122717247
65,1,2023-05-30,173.0284,176.21,172.1129,175.2826,184031700
66,1,2023-05-31,176.8088,182.2503,175.6039,181.0167,80634838
67,1,2023-06-01,182.0485,186.7372,179.8148,184.4738,59879370
68,1,2023-06-02,185.7397,187.8669,182.645,184.761,52302020
69,1,2023-06-05,183.4705,185.7439,179.0336,181.2799,4018245
70,1,2023-06-06,180.4279,181.9396,176.6219,178.1142,54681632
71,1,2023-06-07,177.6863,179.5302,174.2562,176.0835,46961025
72,1,2023-06-08,176.3484,177.2733,171.8331,172.7391,8830086
73,1,2023-06-09,171.7233,175.7332,169.1996,173.188,125488240
74,1,2023-06-12,173.6094,175.6749,166.5102,168.5151,56098008
75,1,2023-06-13,168.4123,171.3424,167.1492,170.0669,17680746
76,1,2023-06-14,170.5714,171.4471,167.1429,168.0054,97753448
77,1,2023-06-15,168.0387,171.5596,166.5505,170.0536,147072528
78,1,2023-06-16,169.9601,175.0001,168.4982,173.5077,84810092
79,1,2023-06-19,173.934,175.8054,172.4543,174.3224,32937875
80,1,2023-06-20,172.8358,180.1996,170.3673,177.6622,5011222
81,1,2023-06-21,178.2714,180.5897,176.3211,178.6354,43428907
82,1,2023-06-22,179.5582,181.423,173.4715,175.292,12481440
83,1,2023-06-23,175.2517,182.7469,172.7541,180.1791,99230850
84,1,2023-06-26,179.6412,182.3032,173.7069,176.3197,22202884
85,1,2023-06-27,176.6915,178.7678,170.513,172.5405,4373929
86,1,2023-06-28,171.3077,172.816,169.6429,171.1498,87526722
87,1,2023-06-29,171.1095,176.2554,168.6115,173.7193,17170184
88,1,2023-06-30,173.9067,178.5814,171.6247,176.2684,153837100
89,1,2023-07-03,174.8398,175.7715,170.9394,171.8552,143393073
90,1,2023-07-04,171.4896,172.4806,169.5894,170.5751,4660871
91,1,2023-07-05,170.9604,174.8135,169.2168,173.0486,125012070
92,1,2023-07-06,173.0985,176.7205,171.0725,174.676,23873887
93,1,2023-07-07,172.9792,174.7511,169.1208,170.8711,176958050
94,1,2023-07-10,170.884,172.3452,166.3246,167.7591,26821867
95,1,2023-07-11,168.4019,172.3097,167.2592,171.1483,63476170
96,1,2023-07-12,170.4535,173.7151,169.0535,172.3,81492885
97,1,2023-07-13,172.4887,174.5167,167.2676,169.2576,98885214
98,1,2023-07-14,168.5923,171.4301,166.2266,169.0578,9017074
99,1,2023-07-17,167.9108,170.185,164.3298,166.5861,24000280
100,1,2023-07-18,166.293,167.8032,164.8261,166.3359,15863061
101,1,2023-07-19,165.4463,166.8014,160.6713,161.9982,53794356
102,1,2023-07-20,162.125,164.3507,160.2181,162.4401,54892833
103,1,2023-07-21,163.0673,169.0328,161.8066,167.736,138069145
104,1,2023-07-24,169.3951,171.6865,162.9684,165.2031,31797120
105,1,2023-07-25,165.832,171.1206,163.3896,168.6368,66795440
