transaction_id,user_id,stock_id,transaction_type,transaction_date,quantity,price_per_share,total_amount,commission,transaction_status
1,93,17,BUY,2023-09-25 14:06:15,10,151.1812,1511.81,9.56,Completed
2,85,38,BUY,2023-12-27 12:00:34,25,383.164,9579.1,8.22,Completed
3,16,9,BUY,2023-04-21 10:05:34,25,47.2809,1182.02,8.53,Completed
4,28,22,BUY,2023-04-10 12:51:15,10,245.2858,2452.86,0.71,Completed
5,37,33,SELL,2023-03-30 11:57:19,10,141.0575,1410.58,3.45,Completed
6,81,6,BUY,2024-01-09 11:13:50,25,27.1258,678.15,7.54,Completed
7,62,26,BUY,2023-03-16 11:31:59,50,160.251,8012.55,6.59,Completed
8,63,7,BUY,2023-03-29 12:32:30,50,45.4974,2274.87,4.39,Completed
9,49,28,SELL,2023-07-12 12:52:05,25,230.0177,5750.44,9.83,Completed
10,71,16,BUY,2024-01-15 15:01:52,100,184.6269,18462.69,6.19,Completed
11,10,34,SELL,2023-09-20 09:46:50,50,136.2691,6813.46,8.83,Completed
12,96,42,BUY,2023-04-24 13:45:37,10,598.8068,5988.07,3.65,Completed
13,87,9,BUY,2023-09-06 13:10:03,50,23.0593,1152.96,5.34,Cancelled
14,80,3,BUY,2023-12-04 15:07:12,10,17.3896,173.9,3.84,Completed
15,87,21,SELL,2023-09-14 15:58:09,10,190.2535,1902.54,3.42,Cancelled
16,55,7,SELL,2023-08-28 15:21:45,50,27.8021,1390.11,5.11,Completed
17,88,12,SELL,2024-02-12 13:13:53,50,160.5708,8028.54,8.02,Completed
18,66,36,BUY,2023-09-29 10:36:26,50,266.9961,13349.81,0.86,Completed
19,12,42,BUY,2023-06-15 13:57:32,25,223.1117,5577.79,4.66,Completed
20,15,36,BUY,2023-03-01 15:17:51,25,302.1498,7553.75,7.94,Completed
21,62,2,BUY,2024-03-15 14:56:54,100,23.819,2381.9,7.02,Completed
22,55,47,SELL,2023-05-08 15:45:15,250,510.0276,127506.9,3.57,Pending
23,20,41,BUY,2023-04-25 11:42:51,10,643.9216,6439.22,7.14,Completed
24,51,21,BUY,2023-08-01 12:06:48,50,178.0112,8900.56,9.04,Completed
25,19,34,BUY,2023-05-26 14:04:27,10,306.9778,3069.78,2.6,Completed
26,78,46,BUY,2023-09-26 09:35:07,100,459.0073,45900.73,0.56,Completed
27,62,44,BUY,2023-08-08 10:53:41,50,201.7963,10089.82,1.81,Completed
28,43,47,BUY,2023-07-13 15:24:48,25,269.6903,6742.26,3.49,Completed
29,78,31,SELL,2024-01-05 12:56:22,50,380.738,19036.9,8.11,Completed
30,82,36,BUY,2024-01-03 12:33:12,100,307.9968,30799.68,5.61,Completed
31,8,15,SELL,2023-11-14 10:00:14,10,111.0601,1110.6,2.3,Completed
32,49,16,BUY,2023-10-04 13:19:33,10,102.4289,1024.29,3.36,Completed
33,84,17,SELL,2023-12-20 10:35:48,10,156.5005,1565.0,9.11,Completed
34,89,49,SELL,2023-07-18 14:31:21,100,337.1117,33711.17,9.6,Completed
35,8,38,BUY,2023-05-08 15:10:01,50,124.4382,6221.91,1.07,Completed
36,66,42,SELL,2024-01-22 14:43:01,25,449.7548,11243.87,1.19,Cancelled
37,85,17,BUY,2024-02-16 09:41:44,10,115.4928,1154.93,9.29,Completed
38,10,41,BUY,2023-06-29 11:30:41,50,351.2787,17563.94,4.23,Completed
39,36,20,BUY,2023-03-17 10:39:35,10,185.3965,1853.97,7.03,Completed
40,39,41,SELL,2023-10-31 09:40:46,100,456.2524,45625.24,5.59,Cancelled
41,59,45,BUY,2023-05-22 15:10:29,100,364.9217,36492.17,7.11,Completed
42,7,9,BUY,2023-07-04 11:49:13,10,40.251,402.51,2.62,Completed
43,49,14,SELL,2023-11-16 10:49:06,25,137.652,3441.3,3.06,Completed
44,95,30,SELL,2023-06-23 15:08:31,50,156.3592,7817.96,0.1,Pending
45,39,15,SELL,2024-01-15 15:11:34,25,170.1884,4254.71,6.51,Completed
46,67,39,BUY,2023-05-02 12:44:54,25,188.706,4717.65,1.03,Completed
47,11,22,BUY,2023-07-25 13:22:17,50,241.1694,12058.47,9.31,Completed
48,21,20,BUY,2023-09-26 14:40:31,100,125.8684,12586.84,6.8,Completed
49,97,17,SELL,2023-08-21 14:16:47,500,147.0989,73549.45,0.58,Completed
50,71,26,SELL,2024-01-17 09:53:00,10,250.7029,2507.03,5.35,Cancelled
51,32,32,SELL,2023-11-13 11:18:10,100,261.1378,26113.78,5.06,Completed
52,10,39,SELL,2023-09-15 15:13:48,25,210.0511,5251.28,0.09,Completed
53,46,42,SELL,2023-03-01 11:18:24,250,202.5657,50641.42,3.36,Completed
54,41,23,BUY,2023-11-13 11:52:37,50,176.7493,8837.47,3.86,Completed
55,66,17,BUY,2023-05-23 10:00:15,10,132.7974,1327.97,9.19,Completed
56,11,17,SELL,2024-02-29 15:01:29,100,116.4425,11644.25,5.15,Completed
57,18,17,BUY,2023-11-06 13:27:14,50,129.2078,6460.39,1.4,Completed
58,5,49,BUY,2024-03-01 12:41:45,25,512.55,12813.75,9.94,Completed
59,6,6,BUY,2023-10-20 15:40:56,10,30.0148,300.15,9.2,Completed
60,6,13,SELL,2023-06-01 13:35:10,25,184.7127,4617.82,7.19,Completed
61,52,7,BUY,2024-01-25 10:54:52,100,40.6939,4069.39,3.08,Completed
62,50,24,SELL,2024-02-01 11:14:10,100,293.6658,29366.58,6.1,Completed
63,46,45,SELL,2023-07-26 10:55:39,10,464.4834,4644.83,7.72,Completed
64,15,6,SELL,2023-06-23 10:10:13,25,29.433,735.83,8.99,Completed
65,27,50,SELL,2024-02-05 10:03:56,25,238.0659,5951.65,7.53,Completed
66,6,18,SELL,2023-08-22 09:32:46,50,185.766,9288.3,5.18,Completed
67,60,16,BUY,2024-03-11 11:39:06,100,160.1297,16012.97,9.07,Completed
68,90,15,BUY,2023-10-26 15:29:50,10,196.7069,1967.07,8.4,Completed
69,65,27,SELL,2023-04-12 12:13:05,10,157.9857,1579.86,2.01,Completed
70,29,20,SELL,2023-04-10 11:30:54,10,117.221,1172.21,9.64,Completed
71,60,2,BUY,2024-01-08 09:43:02,25,42.3174,1057.93,0.52,Completed
72,47,14,SELL,2023-03-07 09:36:06,100,162.7295,16272.95,5.6,Completed
73,1,5,BUY,2023-06-08 10:30:29,100,25.4438,2544.38,6.27,Completed
74,62,18,SELL,2023-03-23 11:30:27,25,117.1733,2929.33,2.24,Completed
75,66,33,SELL,2024-02-06 09:51:18,50,164.192,8209.6,8.52,Completed
76,97,17,BUY,2023-06-15 12:57:26,10,108.7406,1087.41,1.33,Cancelled
